Date;Price
12/9/2023;547,33
11/9/2023;546
8/9/2023;545
7/9/2023;550
6/9/2023;552,5
5/9/2023;553,33
4/9/2023;553,33
1/9/2023;551,58
31/8/2023;545
30/8/2023;543,67
29/8/2023;545,33
28/8/2023;549
25/8/2023;554
24/8/2023;554
23/8/2023;555
22/8/2023;545
21/8/2023;545
18/8/2023;545
17/8/2023;548,33
16/8/2023;555
15/8/2023;555
14/8/2023;555
11/8/2023;560
10/8/2023;561,67
9/8/2023;565
8/8/2023;568,33
7/8/2023;568,33
4/8/2023;568,33
3/8/2023;564
2/8/2023;570
1/8/2023;575
31/7/2023;575
28/7/2023;575
27/7/2023;575
26/7/2023;575
25/7/2023;575
24/7/2023;561,67
21/7/2023;552,33
20/7/2023;551,25
19/7/2023;553,33
18/7/2023;553,33
17/7/2023;551,67
14/7/2023;558,33
13/7/2023;548,75
12/7/2023;542,49
11/7/2023;541,67
10/7/2023;538,67
7/7/2023;542,67
6/7/2023;542,67
5/7/2023;542,68
4/7/2023;543,33
3/7/2023;541,67
30/6/2023;541,67
29/6/2023;541,67
28/6/2023;541,67
27/6/2023;543,33
26/6/2023;530
23/6/2023;544
22/6/2023;544
21/6/2023;544
20/6/2023;548,33
19/6/2023;556,67
16/6/2023;556,67
15/6/2023;549,77
14/6/2023;545
13/6/2023;543,25
12/6/2023;540
9/6/2023;545
8/6/2023;540
7/6/2023;539
6/6/2023;539,47
5/6/2023;539,47
2/6/2023;524,43
1/6/2023;521,67
31/5/2023;518,33
30/5/2023;523,33
29/5/2023;530
26/5/2023;530
25/5/2023;529,33
24/5/2023;531,67
23/5/2023;538,33
22/5/2023;545,67
19/5/2023;548,33
18/5/2023;552
17/5/2023;555
16/5/2023;553,33
15/5/2023;556,67
12/5/2023;550
11/5/2023;550
10/5/2023;560
9/5/2023;570
8/5/2023;570
5/5/2023;550
4/5/2023;561,67
3/5/2023;580
2/5/2023;580
1/5/2023;580
28/4/2023;580
27/4/2023;580
26/4/2023;580
25/4/2023;585
24/4/2023;585
21/4/2023;595
20/4/2023;608,33
19/4/2023;610,33
18/4/2023;613,33
17/4/2023;610
14/4/2023;611,67
13/4/2023;610
12/4/2023;610
11/4/2023;610
10/4/2023;610
7/4/2023;617,67
6/4/2023;611,67
5/4/2023;619,25
4/4/2023;619,25
3/4/2023;625
31/3/2023;637,77
30/3/2023;633,33
29/3/2023;632,67
28/3/2023;629
