Price,Date
2225.25,2010-01-01
2225.25,2010-01-04
2246.5,2010-01-05
2302.5,2010-01-06
2306.5,2010-01-07
2261.25,2010-01-08
2320.25,2010-01-11
2260.25,2010-01-12
2250.25,2010-01-13
2292.75,2010-01-14
2281.5,2010-01-15
2292.25,2010-01-18
2243.25,2010-01-19
2243.25,2010-01-20
2229.25,2010-01-21
2189.25,2010-01-22
2217.25,2010-01-25
2189.25,2010-01-26
2148.75,2010-01-27
2125.75,2010-01-28
2061.25,2010-01-29
2046.25,2010-02-01
2074.75,2010-02-02
2086.25,2010-02-03
2051.75,2010-02-04
1948.5,2010-02-05
1973.75,2010-02-08
2002.25,2010-02-09
2022.25,2010-02-10
2012.25,2010-02-11
2004.25,2010-02-12
2032.5,2010-02-15
2050.5,2010-02-16
2094.5,2010-02-17
2076.5,2010-02-18
2071.5,2010-02-19
2115.5,2010-02-22
2117.25,2010-02-23
2078.5,2010-02-24
2062.25,2010-02-25
2050.25,2010-02-26
2100.5,2010-03-01
2107.5,2010-03-02
2107.5,2010-03-03
2202.75,2010-03-04
2200.5,2010-03-05
2223.75,2010-03-08
2200.25,2010-03-09
2232.5,2010-03-10
2194.5,2010-03-11
2215.5,2010-03-12
2207.5,2010-03-15
2213.0,2010-03-16
2242.25,2010-03-17
2243.5,2010-03-18
2232.5,2010-03-19
2192.25,2010-03-22
2230.5,2010-03-23
2194.25,2010-03-24
2175.5,2010-03-25
2199.0,2010-03-26
2224.75,2010-03-29
2267.25,2010-03-30
2287.5,2010-03-31
2329.5,2010-04-01
2327.25,2010-04-02
2327.25,2010-04-05
2327.25,2010-04-06
2323.5,2010-04-07
2295.25,2010-04-08
2357.25,2010-04-09
2380.75,2010-04-12
2368.75,2010-04-13
2419.25,2010-04-14
2423.5,2010-04-15
2447.25,2010-04-16
2338.75,2010-04-19
2383.5,2010-04-20
2326.25,2010-04-21
2293.25,2010-04-22
2265.25,2010-04-23
2293.25,2010-04-26
2262.0,2010-04-27
2114.75,2010-04-28
2114.75,2010-04-29
2183.5,2010-04-30
2163.5,2010-05-03
2163.5,2010-05-04
2094.5,2010-05-05
2094.5,2010-05-06
2094.5,2010-05-07
2104.0,2010-05-10
2027.5,2010-05-11
2100.25,2010-05-12
2116.25,2010-05-13
2080.5,2010-05-14
2080.5,2010-05-17
2005.25,2010-05-18
1968.5,2010-05-19
1946.75,2010-05-20
1990.75,2010-05-21
2008.5,2010-05-24
1980.25,2010-05-25
2010.25,2010-05-26
2003.25,2010-05-27
2036.5,2010-05-28
1952.5,2010-05-31
1952.5,2010-06-01
1953.75,2010-06-02
1950.75,2010-06-03
1915.25,2010-06-04
1828.25,2010-06-07
1850.25,2010-06-08
1910.75,2010-06-09
1906.0,2010-06-10
1931.75,2010-06-11
1945.25,2010-06-14
1964.75,2010-06-15
1967.25,2010-06-16
1950.25,2010-06-17
1930.5,2010-06-18
1968.25,2010-06-21
1900.75,2010-06-22
1921.5,2010-06-23
1908.25,2010-06-24
1945.5,2010-06-25
1995.0,2010-06-28
1962.25,2010-06-29
1923.75,2010-06-30
1927.75,2010-07-01
1932.5,2010-07-02
1911.0,2010-07-05
1945.5,2010-07-06
1954.25,2010-07-07
1976.5,2010-07-08
1970.25,2010-07-09
1966.5,2010-07-12
1947.5,2010-07-13
2003.25,2010-07-14
1990.75,2010-07-15
2008.25,2010-07-16
1946.75,2010-07-19
1930.25,2010-07-20
1975.0,2010-07-21
2006.25,2010-07-22
