Date,Price_X,Price_Y,Price_Z,Price_Equipo1,Price_Equipo2
2010-01-04,80.12,527.5,2225.25,434.73,931.73
2010-01-05,80.59,527.5,2246.5,449.97,968.56
2010-01-06,81.89,527.5,2302.5,444.48,960.51
2010-01-07,81.51,527.5,2306.5,440.9,960.14
2010-01-08,81.37,552.5,2261.25,448.82,949.55
2010-01-11,80.97,552.5,2320.25,448.74,962.7
2010-01-12,79.3,552.5,2260.25,445.72,949.93
2010-01-13,78.31,552.5,2250.25,467.72,952.02
2010-01-14,77.82,552.5,2292.75,460.34,984.53
2010-01-15,77.11,555.0,2281.5,465.16,945.71
2010-01-18,77.1,555.0,2292.25,446.2,957.85
2010-01-19,77.63,555.0,2243.25,472.48,976.4
2010-01-20,76.32,555.0,2243.25,468.42,937.89
2010-01-21,74.58,555.0,2229.25,451.0,943.95
2010-01-22,72.83,550.0,2189.25,445.89,957.87
2010-01-25,73.69,550.0,2217.25,446.1,927.37
2010-01-26,73.29,550.0,2189.25,449.32,914.04
2010-01-27,72.24,550.0,2148.75,455.12,922.81
2010-01-28,72.13,550.0,2125.75,452.57,905.1
2010-01-29,71.46,542.5,2061.25,442.68,895.13
2010-02-01,73.11,542.5,2046.25,451.63,903.46
2010-02-02,76.06,542.5,2074.75,439.5,878.22
2010-02-03,75.92,542.5,2086.25,443.58,905.92
2010-02-04,72.13,542.5,2051.75,444.83,889.09
2010-02-05,69.59,535.0,1948.5,440.75,832.86
2010-02-08,70.11,535.0,1973.75,449.59,866.02
2010-02-09,72.13,535.0,2002.25,434.45,857.98
2010-02-10,72.54,535.0,2022.25,442.89,875.96
2010-02-11,73.05,535.0,2012.25,445.06,851.54
2010-02-12,72.9,535.0,2004.25,430.54,868.61
2010-02-15,72.51,535.0,2032.5,445.36,869.78
2010-02-16,75.68,535.0,2050.5,434.38,904.22
2010-02-17,76.27,535.0,2094.5,431.69,877.95
2010-02-18,77.78,535.0,2076.5,455.5,892.05
2010-02-19,78.19,535.0,2071.5,456.03,892.66
2010-02-22,78.61,535.0,2115.5,451.93,921.98
2010-02-23,77.25,535.0,2117.25,438.25,913.89
2010-02-24,78.09,535.0,2078.5,432.91,906.2
2010-02-25,76.29,535.0,2062.25,448.16,905.99
2010-02-26,77.59,565.0,2050.25,465.84,917.12
2010-03-01,76.89,565.0,2100.5,456.78,903.92
2010-03-02,78.18,565.0,2107.5,467.5,918.99
2010-03-03,79.25,565.0,2107.5,454.78,935.97
2010-03-04,78.54,565.0,2202.75,479.19,976.63
2010-03-05,79.89,582.5,2200.5,475.0,976.6
2010-03-08,80.47,582.5,2223.75,486.8,954.82
2010-03-09,79.91,582.5,2200.25,476.54,936.77
2010-03-10,80.48,582.5,2232.5,482.68,964.55
2010-03-11,80.28,582.5,2194.5,483.41,966.24
2010-03-12,79.39,605.0,2215.5,490.43,966.2
2010-03-15,77.89,605.0,2207.5,513.65,962.49
2010-03-16,79.02,605.0,2213.0,508.05,985.27
2010-03-17,81.96,605.0,2242.25,513.59,968.28
2010-03-18,81.48,605.0,2243.5,512.15,997.74
2010-03-19,79.88,635.0,2232.5,527.05,976.97
